Stock Symbol,Bull Harami Count,Bull Harami Dates,Bear Harami Count,Bear Harami Dates,Call Target Hits Count,Call closed for Intraday Count,Call Avg %,Call StopLoss Hits Count,Call Targets Hit Dates,Call SL Hit Dates,Call Closed Dates,Put Target Hits Count,Put closed for Intraday Count,Put Avg %,Put StopLoss Hits Count,Put Targets Hit Dates,Put SL Hit Dates,Put Closed Dates,No Trades Taken Count,Net Call Returns,Net Put Returns,Net Returns,Starting Date,Last Date,Number of days run
3IINFOTECH,0,[],0,[],0,0,0,0,[],[],[],0,0,0,0,[],[],[],175,0.0,0.0,0.0,2015-02-02,2015-11-11,175
3MINDIA,8,"['2015-02-23 13:55:00', '2015-04-16 15:25:00', '2015-04-23 09:55:00', '2015-04-28 09:20:00', '2015-07-14 14:20:00', '2015-07-17 09:25:00', '2015-08-28 13:50:00', '2015-09-01 09:25:00']",9,"['2015-03-12 14:00:00', '2015-03-26 09:45:00', '2015-04-08 10:25:00', '2015-06-01 15:05:00', '2015-06-04 10:30:00', '2015-07-20 12:10:00', '2015-08-06 09:15:00', '2015-10-28 12:15:00', '2015-10-28 12:15:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],199,0.0,0.0,0.0,2015-02-02,2015-11-11,199
A2ZINFRA,4,"['2015-04-07 09:15:00', '2015-06-12 11:20:00', '2015-06-26 09:30:00', '2015-08-12 09:15:00']",7,"['2015-04-10 09:35:00', '2015-05-15 09:50:00', '2015-07-17 09:20:00', '2015-07-22 09:40:00', '2015-08-25 12:40:00', '2015-10-20 09:40:00', '2015-10-29 12:50:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],199,0.0,0.0,0.0,2015-02-02,2015-11-11,199
AARTIDRUGS,19,"['2015-02-06 14:20:00', '2015-03-23 14:20:00', '2015-03-24 09:15:00', '2015-04-09 12:10:00', '2015-04-27 10:50:00', '2015-05-04 13:10:00', '2015-05-18 09:40:00', '2015-06-04 13:35:00', '2015-07-08 09:35:00', '2015-07-10 14:00:00', '2015-07-16 09:50:00', '2015-07-17 09:40:00', '2015-07-20 11:05:00', '2015-08-06 11:25:00', '2015-08-19 12:50:00', '2015-08-24 13:05:00', '2015-09-09 14:00:00', '2015-09-28 10:30:00', '2015-09-28 10:30:00']",23,"['2015-03-04 14:40:00', '2015-03-13 11:00:00', '2015-03-17 09:35:00', '2015-03-23 10:25:00', '2015-03-24 09:40:00', '2015-03-27 12:25:00', '2015-04-01 09:40:00', '2015-04-01 09:40:00', '2015-05-05 11:15:00', '2015-05-19 13:20:00', '2015-05-20 09:35:00', '2015-06-05 14:05:00', '2015-06-22 09:35:00', '2015-06-22 10:05:00', '2015-07-08 11:10:00', '2015-07-09 09:15:00', '2015-07-14 09:25:00', '2015-07-15 13:40:00', '2015-07-27 09:30:00', '2015-08-28 14:00:00', '2015-10-05 09:15:00', '2015-10-05 09:40:00', '2015-10-19 09:55:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],199,0.0,0.0,0.0,2015-02-02,2015-11-11,199
AARTIIND,29,"['2015-02-09 11:30:00', '2015-03-02 15:05:00', '2015-03-02 15:05:00', '2015-03-03 14:30:00', '2015-03-11 11:30:00', '2015-03-11 14:15:00', '2015-03-17 10:20:00', '2015-03-18 09:40:00', '2015-03-18 10:55:00', '2015-03-31 12:05:00', '2015-04-28 10:55:00', '2015-05-08 12:10:00', '2015-05-18 10:50:00', '2015-05-18 12:20:00', '2015-05-21 12:25:00', '2015-05-25 14:50:00', '2015-06-10 09:55:00', '2015-07-01 11:00:00', '2015-07-16 09:55:00', '2015-07-23 12:35:00', '2015-07-27 09:20:00', '2015-08-24 13:05:00', '2015-09-07 13:25:00', '2015-09-23 10:05:00', '2015-09-23 13:45:00', '2015-10-01 13:10:00', '2015-10-06 12:55:00', '2015-10-09 14:15:00', '2015-11-04 13:40:00']",33,"['2015-02-12 13:55:00', '2015-02-28 14:50:00', '2015-03-11 09:35:00', '2015-03-12 13:20:00', '2015-03-17 14:00:00', '2015-03-26 09:15:00', '2015-03-26 12:10:00', '2015-03-26 15:15:00', '2015-03-31 11:55:00', '2015-04-07 14:45:00', '2015-04-23 09:30:00', '2015-04-24 14:25:00', '2015-05-15 13:25:00', '2015-05-26 09:40:00', '2015-06-10 11:30:00', '2015-06-12 11:35:00', '2015-06-16 09:15:00', '2015-06-17 13:50:00', '2015-06-19 09:25:00', '2015-06-22 13:55:00', '2015-07-07 11:25:00', '2015-07-07 14:45:00', '2015-07-29 10:45:00', '2015-08-11 13:15:00', '2015-08-24 09:30:00', '2015-08-25 12:30:00', '2015-08-26 09:25:00', '2015-08-28 10:35:00', '2015-09-03 10:30:00', '2015-09-16 13:35:00', '2015-11-03 11:25:00', '2015-11-03 11:45:00', '2015-11-09 09:25:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],199,0.0,0.0,0.0,2015-02-02,2015-11-11,199
AARVEEDEN,3,"['2015-02-04 13:45:00', '2015-08-06 09:15:00', '2015-08-24 13:40:00']",3,"['2015-08-12 13:50:00', '2015-08-17 12:10:00', '2015-09-28 15:25:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],199,0.0,0.0,0.0,2015-02-02,2015-11-11,199
AAVAS,3,"['2018-10-17 10:20:00', '2018-10-22 11:20:00', '2018-11-02 11:05:00']",3,"['2018-10-22 10:50:00', '2018-10-26 11:50:00', '2018-10-31 12:45:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],21,0.0,0.0,0.0,2018-10-09,2018-11-07,21
ABB,41,"['2015-02-03 13:25:00', '2015-02-19 10:30:00', '2015-02-25 14:10:00', '2015-02-26 10:00:00', '2015-02-28 10:40:00', '2015-03-04 10:55:00', '2015-03-09 10:20:00', '2015-03-12 09:25:00', '2015-03-17 10:55:00', '2015-03-23 12:10:00', '2015-03-23 13:35:00', '2015-03-25 12:00:00', '2015-03-27 09:35:00', '2015-03-27 10:30:00', '2015-04-06 10:55:00', '2015-04-08 14:00:00', '2015-04-08 14:10:00', '2015-04-10 11:05:00', '2015-04-30 09:55:00', '2015-05-06 10:05:00', '2015-05-25 15:05:00', '2015-06-05 11:30:00', '2015-06-05 14:50:00', '2015-06-09 14:05:00', '2015-06-11 10:40:00', '2015-06-16 13:45:00', '2015-06-19 11:00:00', '2015-07-07 14:05:00', '2015-07-13 14:30:00', '2015-07-31 12:45:00', '2015-08-06 15:00:00', '2015-08-19 12:55:00', '2015-08-24 09:45:00', '2015-08-31 12:25:00', '2015-09-03 13:05:00', '2015-09-24 12:15:00', '2015-09-30 09:55:00', '2015-09-30 14:55:00', '2015-10-01 13:05:00', '2015-10-12 12:00:00', '2015-11-09 11:55:00']",47,"['2015-02-02 13:55:00', '2015-02-13 13:55:00', '2015-02-25 10:00:00', '2015-02-25 13:45:00', '2015-02-27 09:15:00', '2015-02-27 11:05:00', '2015-02-27 13:55:00', '2015-03-03 13:35:00', '2015-03-04 13:35:00', '2015-03-12 09:15:00', '2015-03-17 12:20:00', '2015-03-18 10:15:00', '2015-03-23 15:05:00', '2015-03-25 12:45:00', '2015-03-25 13:30:00', '2015-03-27 14:55:00', '2015-04-10 11:50:00', '2015-04-22 13:40:00', '2015-05-08 10:45:00', '2015-05-18 14:05:00', '2015-05-22 13:40:00', '2015-05-28 13:45:00', '2015-05-29 12:45:00', '2015-06-02 10:10:00', '2015-06-03 09:45:00', '2015-06-10 12:40:00', '2015-06-12 12:15:00', '2015-06-17 11:30:00', '2015-06-19 12:30:00', '2015-06-26 10:05:00', '2015-06-30 12:10:00', '2015-06-30 14:35:00', '2015-06-30 12:10:00', '2015-06-30 14:35:00', '2015-07-01 11:50:00', '2015-07-06 11:40:00', '2015-07-06 15:25:00', '2015-07-10 09:15:00', '2015-07-20 11:40:00', '2015-07-28 15:05:00', '2015-08-25 14:35:00', '2015-08-28 09:55:00', '2015-08-31 10:10:00', '2015-08-31 11:05:00', '2015-09-23 09:30:00', '2015-09-23 10:45:00', '2015-10-19 12:20:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],199,0.0,0.0,0.0,2015-02-02,2015-11-11,199
ABBOTINDIA,22,"['2015-02-05 10:00:00', '2015-02-19 15:25:00', '2015-02-25 15:05:00', '2015-03-17 13:10:00', '2015-03-30 09:15:00', '2015-04-01 10:35:00', '2015-04-01 10:35:00', '2015-04-30 11:45:00', '2015-05-04 12:55:00', '2015-05-07 11:20:00', '2015-06-17 11:45:00', '2015-07-01 10:55:00', '2015-07-08 11:10:00', '2015-08-03 13:45:00', '2015-08-11 09:35:00', '2015-08-21 14:15:00', '2015-08-26 12:10:00', '2015-08-27 09:20:00', '2015-08-28 14:35:00', '2015-09-04 14:15:00', '2015-10-06 09:15:00', '2015-11-02 13:45:00']",11,"['2015-02-27 13:35:00', '2015-04-28 12:35:00', '2015-05-15 10:40:00', '2015-06-11 10:35:00', '2015-06-18 09:40:00', '2015-06-25 14:40:00', '2015-08-24 15:00:00', '2015-08-28 11:35:00', '2015-09-07 13:55:00', '2015-09-29 14:25:00', '2015-10-07 09:45:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],199,0.0,0.0,0.0,2015-02-02,2015-11-11,199
ABCAPITAL,3,"['2017-09-15 13:15:00', '2017-09-25 09:45:00', '2017-10-05 13:45:00']",2,"['2017-09-22 10:00:00', '2017-10-16 09:30:00']",0,0,0,0,[],[],[],0,0,0,0,[],[],[],33,0.0,0.0,0.0,2017-09-04,2017-10-19,33
