Trade Date,Closing Price,Resistance,Support,Entry Price,StopLoss,Target Price,Trade Status
2020-01-09,12214.45,-1,10890.183333333334,10933.6,10889.865600000001,11042.936,No Trade Taken
2020-01-10,12256.5,12246.8,12159.3,12247.95,12198.958200000001,12370.4295,IntraDay Timeout - Call Entry Closed
2020-01-13,12329.6,12307.166666666666,12209.716666666667,12325.0,12275.7,12448.25,IntraDay Timeout - Call Entry Closed
2020-01-14,12360.05,12349.0,12298.6,12357.05,12307.621799999999,12480.620499999999,IntraDay Timeout - Call Entry Closed
2020-01-15,12340.35,12386.016666666668,12321.716666666669,12309.5,12358.738,12186.405,IntraDay Timeout - Put Entry Closed
2020-01-16,12354.05,12370.550000000003,12294.600000000002,12378.25,12328.737,12502.0325,Call StopLoss Hit
2020-01-17,12346.1,12390.08333333333,12316.93333333333,12378.25,12328.737,12502.0325,No Trade Taken
2020-01-20,12230.75,12380.149999999998,12317.149999999998,12311.0,12360.244,12187.89,IntraDay Timeout - Put Entry Closed
2020-01-21,12169.65,12368.416666666668,12155.166666666668,12311.0,12360.244,12187.89,No Trade Taken
2020-01-22,12108.15,12212.283333333333,12144.783333333333,12134.8,12183.339199999999,12013.452,IntraDay Timeout - Put Entry Closed
2020-01-23,12179.9,12192.366666666669,12056.366666666669,12134.8,12183.339199999999,12013.452,No Trade Taken
2020-01-24,12252.15,12213.716666666669,12120.866666666669,12216.65,12167.7834,12338.816499999999,IntraDay Timeout - Call Entry Closed
2020-01-27,12109.9,12299.416666666666,12177.516666666666,12167.0,12215.668,12045.33,IntraDay Timeout - Put Entry Closed
2020-01-28,12061.95,12181.95,12072.45,12063.95,12112.205800000002,11943.310500000001,IntraDay Timeout - Put Entry Closed
2020-01-29,12132.0,12141.26666666667,12004.216666666669,12143.65,12095.0754,12265.0865,IntraDay Timeout - Call Entry Closed
2020-01-30,12023.8,12166.266666666666,12100.866666666667,12084.5,12132.838,11963.655,Put StopLoss Hit
2020-01-31,11966.45,12111.333333333332,11973.633333333331,11971.6,12019.4864,11851.884,Put StopLoss Hit
2020-02-01,11643.65,12062.616666666663,11908.216666666664,11895.5,11943.082,11776.545,Put StopLoss Hit
2020-02-03,11724.6,11895.616666666669,11512.716666666669,11895.5,11943.082,11776.545,No Trade Taken
2020-02-04,11981.3,11777.716666666664,11643.616666666663,11835.1,11787.759600000001,11953.451000000001,Call StopLoss Hit
2020-02-05,12091.95,12049.18333333333,11849.83333333333,12058.85,12010.6146,12179.4385,IntraDay Timeout - Call Entry Closed
2020-02-06,12133.25,12141.75,11998.099999999999,12150.85,12102.2466,12272.3585,Call StopLoss Hit
2020-02-07,12086.6,12167.466666666664,12092.016666666663,12089.5,12137.858,11968.605,IntraDay Timeout - Put Entry Closed
2020-02-10,12035.3,12133.833333333332,12056.683333333332,12050.15,12098.3506,11929.6485,Put StopLoss Hit
2020-02-11,12110.45,12094.866666666669,11983.266666666668,12139.9,12091.3404,12261.298999999999,IntraDay Timeout - Call Entry Closed
2020-02-12,12203.9,12155.2,12082.5,12206.4,12157.5744,12328.464,Call StopLoss Hit
2020-02-13,12168.95,12241.95,12155.45,12152.5,12201.11,12030.975,IntraDay Timeout - Put Entry Closed
2020-02-14,12113.35,12212.400000000005,12132.750000000005,12238.5,12189.546,12360.885,Call StopLoss Hit
2020-02-17,12050.15,12209.35,12054.5,12051.85,12100.0574,11931.3315,IntraDay Timeout - Put Entry Closed
2020-02-18,12008.05,12127.26666666667,12005.11666666667,11976.45,12024.355800000001,11856.685500000001,Put StopLoss Hit
2020-02-19,12130.95,12055.2,11934.6,12109.45,12061.012200000001,12230.5445,Call StopLoss Hit
2020-02-20,12083.1,12162.733333333334,12070.683333333334,12109.45,12061.012200000001,12230.5445,No Trade Taken
2020-02-24,11835.85,12132.233333333332,12052.93333333333,11941.1,11988.8644,11821.689,Put StopLoss Hit
2020-02-25,11814.35,11961.066666666668,11762.116666666669,11941.1,11988.8644,11821.689,No Trade Taken
2020-02-26,11677.35,11871.5,11768.6,11734.4,11781.337599999999,11617.055999999999,Put StopLoss Hit
2020-02-27,11619.95,11759.866666666669,11617.566666666668,11593.9,11640.275599999999,11477.961,Put StopLoss Hit
2020-02-28,11217.4,11675.150000000001,11550.850000000002,11341.2,11386.5648,11227.788,Put Target Hit
2020-03-02,11149.2,11341.066666666668,11134.666666666668,11364.9,11319.4404,11478.548999999999,Call StopLoss Hit
