Stock Symbol,Call Target Hits Count,Call closed for Intraday Count,Call Avg %,Call StopLoss Hits Count,Call Target Hit Dates,Call SL Hit Dates,Call Closed Dates,No Trades Taken Count,Net Call Returns,Number of days run
20MICRONS,1,0,0.0,0,"[['2022-12-13', 'Tuesday']]",[],[],40,0.8,41
21STCENMGM,0,0,0.0,0,[],[],[],5,0.0,5
3MINDIA,0,0,0.0,0,[],[],[],41,0.0,41
3PLAND,0,0,0.0,0,[],[],[],4,0.0,4
5PAISA,2,0,0.0,0,"[['2022-12-07', 'Wednesday'], ['2023-01-12', 'Thursday']]",[],[],39,1.6,41
63MOONS,2,0,0.0,0,"[['2022-12-08', 'Thursday'], ['2022-12-29', 'Thursday']]",[],[],39,1.6,41
A2ZINFRA,2,0,0.0,0,"[['2022-12-26', 'Monday'], ['2023-01-09', 'Monday']]",[],[],39,1.6,41
AARTIDRUGS,1,0,0.0,0,"[['2023-01-27', 'Friday']]",[],[],40,0.8,41
AARTIIND,0,0,0.0,0,[],[],[],41,0.0,41
AARVEEDEN,4,0,0.0,0,"[['2022-12-20', 'Tuesday'], ['2023-01-03', 'Tuesday'], ['2023-01-04', 'Wednesday'], ['2023-01-16', 'Monday']]",[],[],37,3.2,41
AAVAS,0,0,0.0,0,[],[],[],41,0.0,41
ABAN,2,0,0.0,0,"[['2022-12-13', 'Tuesday'], ['2023-01-24', 'Tuesday']]",[],[],39,1.6,41
ABB,0,0,0.0,0,[],[],[],41,0.0,41
ABBOTINDIA,0,0,0.0,0,[],[],[],41,0.0,41
ABCAPITAL,0,0,0.0,0,[],[],[],41,0.0,41
ABFRL,0,0,0.0,0,[],[],[],41,0.0,41
ACC,0,0,0.0,0,[],[],[],41,0.0,41
ACCELYA,0,0,0.0,0,[],[],[],41,0.0,41
ACE,0,0,0.0,0,[],[],[],41,0.0,41
ADANIENT,0,0,0.0,0,[],[],[],41,0.0,41
ADANIGREEN,0,0,0.0,0,[],[],[],41,0.0,41
ADANIPORTS,0,0,0.0,0,[],[],[],41,0.0,41
ADANIPOWER,1,0,0.0,0,"[['2022-12-28', 'Wednesday']]",[],[],40,0.8,41
ADANITRANS,0,0,0.0,0,[],[],[],41,0.0,41
ADFFOODS,2,0,0.0,0,"[['2022-12-13', 'Tuesday'], ['2023-01-17', 'Tuesday']]",[],[],39,1.6,41
ADORWELD,0,0,0.0,0,[],[],[],41,0.0,41
ADROITINFO,1,0,0.0,0,"[['2022-12-07', 'Wednesday']]",[],[],4,0.8,5
ADSL,1,0,0.0,0,"[['2023-01-16', 'Monday']]",[],[],40,0.8,41
ADVANIHOTR,0,0,0.0,0,[],[],[],41,0.0,41
ADVENZYMES,0,0,0.0,0,[],[],[],41,0.0,41
AEGISCHEM,3,0,0.0,0,"[['2022-12-16', 'Friday'], ['2022-12-29', 'Thursday'], ['2023-01-30', 'Monday']]",[],[],38,2.4000000000000004,41
AFFLE,0,0,0.0,0,[],[],[],41,0.0,41
